Altium Designer Pick and Place Locations
E:\YandexDisk\!Projects\Relex\PCB Visit card\VisitCard\Project Outputs for VisitCard\Pick Place for VisitCardPCB.txt

========================================================================================================================
File Design Information:

Date:       17.07.18
Time:       13:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Footprint      Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer    Rotation Comment                   
C1         C0603          266.732       275.591       266.732    275.591    297.244    275.591    TopLayer 180      Конденсатор22пФ           
C2         C0603          579.725       275.591       579.725    275.591    549.213    275.591    TopLayer 0        Конденсатор22пФ           
C3         C0603          1236.220      1937.008      1236.220   1937.008   1236.220   1906.496   TopLayer 90       Конденсатор100нФ          
C4         CaseB          1574.803      1913.386      1574.803   1913.386   1574.803   1967.520   TopLayer 270      "Конденсатор 47мкФ"       
D1         A32            1062.992      413.386       1062.992   413.386    1022.626   609.650    TopLayer 315      МикросхемаAtmega8A-AU     
F1         Fuse_0.4A      2228.346      1968.504      1968.504   1968.504   1968.504   1968.504   TopLayer 360      "Fuse 0.4A"               
HL1        LED0402_GREEN  1802.165      649.606       1823.819   649.606    1823.819   649.606    TopLayer 180      СветодиодKPHHS-1005MGCK   
HL2        LED0402_RED    1809.055      275.591       1830.709   275.591    1830.709   275.591    TopLayer 180      СветодиодKPHHS-1005SURCK  
HL3        LED0402_GREEN  2403.543      846.457       2381.890   846.457    2381.890   846.457    TopLayer 360      СветодиодKPHHS-1005MGCK   
HL4        LED0402_RED    2403.543      492.126       2381.890   492.126    2381.890   492.126    TopLayer 360      СветодиодKPHHS-1005SURCK  
HL5        LED0402_GREEN  2403.543      433.071       2381.890   433.071    2381.890   433.071    TopLayer 360      СветодиодKPHHS-1005MGCK   
HL6        LED0402_RED    2403.543      59.055        2381.890   59.055     2381.890   59.055     TopLayer 360      СветодиодKPHHS-1005SURCK  
HL7        LED0402_GREEN  3013.780      649.606       2992.126   649.606    2992.126   649.606    TopLayer 360      СветодиодKPHHS-1005MGCK   
HL8        LED0402_RED    3013.780      295.276       2992.126   295.276    2992.126   295.276    TopLayer 360      СветодиодKPHHS-1005SURCK  
HL9        LED0402_GREEN  163.386       1295.276      141.732    1295.276   141.732    1295.276   TopLayer 360      СветодиодKPHHS-1005MGCK   
HL10       LED0402_RED    253.937       893.701       232.284    893.701    232.284    893.701    TopLayer 360      СветодиодKPHHS-1005SURCK  
HL11       LED0402_RED    856.299       897.638       834.646    897.638    834.646    897.638    TopLayer 360      СветодиодKPHHS-1005SURCK  
HL12       LED0402_YELLOW 553.149       1570.866      531.496    1570.866   531.496    1570.866   TopLayer 360      СветодиодKPHHS-1005SYCK   
HL13       LED0402_ORANGE 942.913       1291.339      921.260    1291.339   921.260    1291.339   TopLayer 360      СветодиодKPHHS-1005SECK   
R1         R0603          1807.087      759.842       1807.087   759.842    1780.512   759.842    TopLayer 0        200Ом                     
R2         R0603          1814.961      137.795       1814.961   137.795    1788.386   137.795    TopLayer 0        200Ом                     
R3         R0603          2106.299      736.221       2106.299   736.221    2079.724   736.221    TopLayer 0        200Ом                     
R4         R0603          2732.284      472.441       2732.284   472.441    2705.709   472.441    TopLayer 0        200Ом                     
R5         R0603          2732.284      279.528       2732.284   279.528    2705.709   279.528    TopLayer 0        200Ом                     
R6         R0603          2732.284      59.055        2732.284   59.055     2705.709   59.055     TopLayer 0        200Ом                     
R7         R0603          1307.087      732.284       1307.087   732.284    1307.087   705.709    TopLayer 90       10кОм                     
R8         R0603          3000.000      1322.835      3000.000   1322.835   2973.425   1322.835   TopLayer 360      68Ом                      
R9         R0603          3106.299      763.779       3106.299   763.779    3079.724   763.779    TopLayer 0        200Ом                     
R10        R0603          3035.433      85.630        3035.433   85.630     3035.433   112.205    TopLayer 270      200Ом                     
R11        R0603          185.039       1696.851      185.039    1696.851   185.039    1670.276   TopLayer 90       200Ом                     
R12        R0603          249.016       590.551       249.016    590.551    275.591    590.551    TopLayer 180      200Ом                     
R13        R0603          951.509       744.095       951.509    744.095    924.934    744.095    TopLayer 360      200Ом                     
R14        R0603          578.740       1952.756      578.740    1952.756   578.740    1926.181   TopLayer 90       200Ом                     
R15        R0603          2669.291      1437.008      2669.291   1437.008   2669.291   1410.433   TopLayer 90       68Ом                      
R16        R0603          2547.244      1437.008      2547.244   1437.008   2547.244   1463.583   TopLayer 270      2.2кОм                    
